Time	Emotion	Trend	Price
20101001	3	increase	2785 
20101101	0	stable	3279 
20101201	0	stable	3015 
20110101	1	increase	2902 
20110201	5	increase	2906 
20110301	11	increase	2747 
20110401	23	increase	2798 
20110501	-10	decrease	2847 
20110601	-26	decrease	2759 
20110701	14	increase	2902 
20110801	-5	decrease	3008 
20110901	70	increase	3196 
20111001	13	increase	3173 
20111101	-86	decrease	2965 
20111201	-115	decrease	2832 
20120101	19	increase	2935 
20120201	-9	decrease	2983 
20120301	43	increase	2940 
20120401	30	increase	3039 
20120501	-30	decrease	3065 
20120601	-57	decrease	2819 
20120701	-40	decrease	2830 
20120801	8	increase	2842 
20120901	0	decrease	2869 
20121001	18	increase	2866 
20121101	-2	decrease	2789 
20121201	-23	decrease	2765 
20130101	18	increase	2805 
20130201	29	increase	2868 
20130301	-11	decrease	2788 
20130401	-13	decrease	2728 
20130501	-5	decrease	2680 
20130601	-13	decrease	2605 
20130701	-5	decrease	2619 
20130801	19	increase	2948 
20130901	28	increase	3259 
20131001	-18	decrease	3325 
20131101	4	increase	3440 
20131201	-9	decrease	3705 
20140101	-5	decrease	3286 
20140201	0	decrease	3214 
20140301	-7	decrease	2883 
20140401	-5	decrease	2842 
20140501	-55	decrease	2708 
20140601	-13	decrease	2635 
20140701	-22	decrease	2639 
20140801	-1	decrease	2630 
20140901	20	increase	2694 
20141001	-17	decrease	2627 
